Company_Name,Dependent-Company Status,year of founding,Age of company in years,Internet Activity Score,Focus functions of company,Investors,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Number of  of Partners of company,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Degree from a Tier 1 or Tier 2 university?,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Top management similarity,Number of Recognitions for Founders and Co-founders,Number of  of Research publications,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Employee benefits and salary structures,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Legal risk and intellectual property,Client Reputation,google page rank of company website,Technical proficiencies to analyse and interpret unstructured data,Solutions offered,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),"Survival through recession, based on existence of the company through recession times",Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Gartner hype cycle stage,Time to maturity of technology (in years),Percent_skill_Entrepreneurship,Percent_skill_Operations,Percent_skill_Engineering,Percent_skill_Marketing,Percent_skill_Leadership,Percent_skill_Data Science,Percent_skill_Business Strategy,Percent_skill_Product Management,Percent_skill_Sales,Percent_skill_Domain,Percent_skill_Law,Percent_skill_Consulting,Percent_skill_Finance,Percent_skill_Investment,Renown score,team_size_grown,Investors_count
12,1,2011.0,3.0,762.0,59,235,34,16,0,17,245,16000000.0,21,2,0.0,3.0,2.0,1.0,8.0,50.0,0,0.0,2,0,2,1,1,0,0,0,0,2,1,0,0,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,1,0,0,18.0,53,0,1,2,500.0,0,0.0,0.0,1.0,2,4.0,1,14.5,0,2,1,0,1,1,0,1,1,0,0,0,0,142907.0,1,1,0,4.0,2,4.0,25.0,73,1,24.0,2.666666667,4,1,3.846153846,0.0,26.92307692,0.0,3.846153846,3.846153846,7.692307692,0.0,3.846153846,0.0,0.0,0.0,0.0,0.0,6.0,1,0.0
23,1,2010.0,4.0,140.0,75,2,31,19,0,15,205,6300000.0,21,2,0.0,3.0,0.0,1.0,7.0,50.0,0,1.0,2,0,2,1,1,0,0,1,1,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,21.0,2,1,1,1,500.0,0,0.0,0.0,0.0,1,0.0,0,12.0,0,2,1,0,1,1,0,1,1,0,0,1,1,1560315.0,0,0,0,3.0,2,0.0,16.6,126,1,18.0,3.85,1,0,27.27272727,0.0,18.18181818,0.0,9.090909091,0.0,36.36363636,9.090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0
34,1,2010.0,4.0,115.0,59,35,47,3,0,15,266,11500000.0,21,2,0.0,5.0,0.0,1.0,8.0,50.0,0,1.0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,1,2,0,18.0,60,1,1,2,500.0,0,1.0,0.0,0.0,2,0.0,0,0.0,0,2,1,0,1,2,0,1,1,1,0,0,1,172054.0,0,1,0,3.0,2,0.0,16.6,65,1,12.0,6.0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
45,1,2008.0,6.0,277.0,120,114,22,0,0,128,22,6500000.0,21,2,0.0,9.0,3.0,0.0,6.0,22.0,0,0.0,1,0,0,1,0,1,1,1,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,2,1,1,0,18.0,61,1,1,1,500.0,2,0.0,0.0,1.0,2,1.0,1,20.5,2,2,1,0,1,1,0,0,1,0,0,0,1,99081.0,1,1,1,3.0,2,0.0,4.4,127,1,14.0,7.333333333,3,2,8.333333333,0.0,50.0,16.66666667,0.0,12.5,4.166666667,4.166666667,4.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
56,1,2010.0,4.0,242.0,59,135,13,37,0,15,59,2800000.0,21,2,0.0,2.0,2.0,0.0,5.0,50.0,0,0.0,0,0,1,0,0,0,0,1,1,2,1,0,0,3,1,1,0,0,0,0,1,1,0,0,1,1,1,0,2,0,1,0,1,0,2,25.0,24,1,1,1,500.0,2,0.0,0.0,0.0,0,1.0,0,22.5,0,2,1,0,1,1,1,1,1,0,0,0,1,713494.0,1,1,0,3.0,2,0.0,16.6,88,1,48.0,48.0,1,1,13.33333333,0.0,6.666666667,60.0,0.0,13.33333333,6.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2.0
67,1,2008.0,6.0,533.0,30,219,129,71,2,11,19,41000000.0,21,2,0.0,5.0,2.0,0.0,8.0,200.0,0,0.0,0,0,2,0,0,0,0,0,0,2,1,0,0,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,1,2,1,21.0,19,1,1,1,500.0,0,0.0,1.0,0.0,1,9.0,0,21.0,0,2,1,0,1,1,1,0,1,1,0,0,0,289041.0,1,1,0,3.0,2,0.0,40.0,115,1,38.0,8.0,0,1,11.11111111,5.555555556,5.555555556,0.0,11.11111111,11.11111111,27.77777778,0.0,11.11111111,5.555555556,0.0,0.0,5.555555556,5.555555556,5.0,1,0.0
78,1,2010.0,4.0,-81.0,56,138,23,27,0,15,83,3499999.0,21,2,0.0,4.0,1.0,0.0,7.0,50.0,0,2.0,0,0,2,0,0,0,0,1,1,2,1,0,0,3,1,1,1,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,1,0,1,21.0,25,1,1,1,417.0,0,0.0,0.0,0.0,2,1.0,0,12.0,2,2,1,0,1,2,0,1,1,0,0,0,1,1939943.0,1,1,0,3.0,2,0.0,16.6,98,1,3.0,11.06666667,2,1,8.333333333,0.0,58.33333333,0.0,0.0,0.0,25.0,0.0,0.0,8.333333333,0.0,0.0,0.0,0.0,2.0,1,3.0
89,1,2009.0,5.0,471.0,59,253,52,-2,0,123,40,10000000.0,21,2,0.0,3.0,3.0,0.0,8.0,50.0,0,2.0,1,0,2,0,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,0,1,1,0,1,1,1,0,0,2,0,2,0,1,2,1,21.0,24,1,1,2,500.0,0,0.0,0.0,0.0,1,0.0,0,4.5,0,2,1,0,1,2,0,1,1,0,0,0,0,276491.0,1,1,0,4.0,0,0.0,12.5,62,1,30.0,12.61666667,4,1,20.0,0.0,20.0,0.0,40.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
100,1,2002.0,12.0,47.0,114,104,46,154,2,2,83,750000.0,21,2,0.0,5.0,0.0,0.0,8.0,200.0,0,0.0,2,1,2,1,1,0,0,0,0,2,1,0,0,3,1,1,1,1,0,0,1,0,0,0,0,0,1,0,2,0,1,0,1,0,1,21.0,109,1,1,1,500.0,2,0.0,0.0,0.0,2,0.0,0,18.5,0,0,1,0,0,1,0,1,0,1,0,0,0,3341960.0,1,1,0,4.0,0,0.0,18.18,41,1,35.0,24.625,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1,3.0
112,1,2010.0,4.0,60.0,59,150,5,45,0,93,67,749999.0,21,2,0.0,6.0,2.0,0.0,4.0,50.0,0,0.0,1,0,2,1,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,1,0,18.0,41,0,1,1,500.0,0,0.0,0.0,0.0,2,0.0,1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,1,2461569.0,0,1,0,4.0,0,4.0,16.6,40,1,20.0,5.455555556,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1,6.0
123,1,2010.0,4.0,70.0,56,285,27,-1,2,15,184,5000000.0,21,2,0.0,1.0,2.0,0.0,5.0,26.0,0,0.0,2,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,18.0,25,1,1,2,410.0,0,1.0,1.0,1.0,0,56.0,1,22.0,2,2,1,0,1,2,1,1,0,0,0,0,2,1246836.0,1,0,0,4.0,2,0.0,8.6,119,1,15.0,15.0,2,1,5.555555556,0.0,27.77777778,11.11111111,0.0,16.66666667,27.77777778,5.555555556,0.0,5.555555556,0.0,0.0,0.0,0.0,7.0,0,1.0
134,1,2005.0,9.0,242.0,103,17,31,-5,2,5,120,1500000.0,21,2,0.0,1.0,2.0,0.0,4.0,26.0,0,0.0,2,0,1,1,1,1,1,0,1,2,0,0,1,3,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,21.0,65,1,1,1,500.0,1,1.0,1.0,1.0,1,100.0,0,14.0,1,1,0,0,2,1,0,0,0,1,0,0,0,269278.0,0,1,0,4.0,0,0.0,3.25,56,1,96.0,96.0,1,1,8.333333333,0.0,0.0,0.0,0.0,25.0,33.33333333,8.333333333,8.333333333,0.0,0.0,16.66666667,0.0,0.0,0.0,0,0.0
145,1,2012.0,2.0,245.0,56,10,32,1,2,19,20,15000000.0,21,2,0.0,4.0,3.0,8.0,3.0,33.0,1,2.0,0,1,1,1,1,0,0,2,1,1,1,1,0,3,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,2,1,21.0,25,1,1,2,500.0,1,1.0,1.0,1.0,0,58.0,1,17.0,0,2,0,1,1,1,1,0,0,1,0,0,0,761788.0,0,0,0,3.0,2,0.0,33.0,71,1,10.0,7.366666667,0,1,8.088235294,0.0,17.89215686,1.960784314,2.083333333,8.088235294,14.21568627,4.044117647,4.044117647,4.166666667,0.0,0.0,0.0,2.083333333,9.0,1,0.0
156,1,2009.0,5.0,0.0,117,295,31,-9,2,14,7,6379489.0,21,2,6.0,0.0,2.0,6.0,5.0,22.0,1,4.0,2,0,2,1,1,0,1,2,1,0,0,1,0,3,0,1,0,1,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,1,21.0,77,0,1,1,500.0,1,0.0,0.0,0.0,1,59.0,1,30.0,1,1,0,0,1,1,0,1,0,1,0,0,2,109189.0,1,0,0,3.0,2,0.0,5.5,121,1,5.0,18.0,4,1,5.882352941,2.941176471,41.17647059,8.823529412,0.0,8.823529412,17.64705882,2.941176471,5.882352941,2.941176471,0.0,0.0,0.0,2.941176471,9.0,0,6.0
167,1,2012.0,2.0,373.0,12,288,3,0,2,77,57,1700000.0,21,2,1.0,6.0,2.0,0.0,2.0,3.0,0,0.0,2,0,2,1,1,0,0,2,1,2,0,0,1,3,1,0,1,1,1,0,1,1,0,1,1,0,1,0,2,1,0,0,1,2,2,25.0,58,1,1,0,500.0,1,0.0,0.0,0.0,0,81.0,1,40.0,1,1,0,1,2,1,1,1,1,0,0,0,0,642250.0,1,0,0,3.0,0,5.0,3.0,58,1,14.0,3.55,0,1,11.4379085,0.0,20.58823529,11.11111111,2.941176471,5.718954248,25.65359477,2.777777778,11.2745098,2.777777778,0.0,0.0,0.0,5.718954248,3.0,0,1.0
178,1,2011.0,3.0,61.0,125,47,5,0,2,125,242,250000.0,21,2,3.0,0.0,2.0,1.0,3.0,5.0,0,0.0,3,0,2,1,1,0,0,2,1,1,1,1,1,3,0,1,0,1,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,2,1,21.0,41,0,0,1,500.0,1,0.0,0.0,0.0,2,24.0,1,14.0,1,1,0,0,1,1,0,0,0,0,0,0,1,3799200.0,1,0,0,2.0,1,3.0,2.5,21,1,1.0,6.111111111,1,0,15.38461538,0.0,0.0,46.15384615,0.0,7.692307692,7.692307692,0.0,7.692307692,15.38461538,0.0,0.0,0.0,0.0,0.0,0,3.0
189,1,2009.0,5.0,155.0,115,185,5,1,2,13,81,1400000.0,21,2,0.0,2.0,3.0,0.0,3.0,6.0,0,0.0,1,0,1,0,0,1,0,2,1,1,0,2,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,1,2,0,1,2,0,1,0,18.0,7,0,0,0,307.0,1,1.0,1.0,1.0,2,67.0,1,0.0,1,1,0,0,2,2,0,1,1,1,0,0,0,2497831.0,0,0,1,4.0,0,0.0,1.5,55,1,48.0,48.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0
200,1,2013.0,1.0,43.0,103,317,31,-26,0,78,217,1100000.0,21,2,6.0,0.0,1.0,0.0,1.0,5.0,0,0.0,3,0,2,0,0,0,0,2,0,1,0,0,1,3,0,1,0,0,0,0,1,1,1,1,1,0,0,0,2,1,1,1,0,1,2,25.0,60,0,0,2,500.0,1,0.0,0.0,0.0,1,53.0,0,32.0,1,1,0,1,2,1,0,0,0,0,0,0,2,7253712.0,1,0,0,3.0,2,0.0,5.0,51,1,4.0,4.0,1,0,7.142857143,0.0,14.28571429,7.142857143,21.42857143,7.142857143,7.142857143,7.142857143,7.142857143,0.0,14.28571429,0.0,0.0,7.142857143,4.0,0,6.0
211,1,2007.0,7.0,11.0,115,274,31,79,4,40,156,15000000.0,21,2,0.0,4.0,2.0,8.0,10.0,110.0,1,2.0,0,0,1,0,0,0,0,2,0,1,0,1,0,3,1,0,1,1,0,0,1,1,0,1,1,1,0,0,2,0,1,0,0,2,0,18.0,7,0,1,2,500.0,2,1.0,1.0,1.0,2,71.0,0,18.0,0,0,1,1,2,2,1,1,1,1,0,1,0,296645.0,0,0,1,4.0,0,0.0,18.3,71,1,36.0,13.62222222,3,2,5.555555556,5.555555556,16.66666667,5.555555556,5.555555556,5.555555556,22.22222222,5.555555556,22.22222222,5.555555556,0.0,0.0,0.0,0.0,1.0,1,0.0
223,1,2012.0,2.0,281.0,9,239,3,0,0,109,144,200000.0,21,2,3.0,1.0,2.0,0.0,2.0,3.0,0,0.0,2,0,2,0,0,0,0,2,0,1,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,1,0,2,1,1,2,0,2,0,18.0,74,1,1,0,350.0,1,0.0,0.0,0.0,0,79.0,0,17.0,1,1,0,0,1,1,1,0,0,0,0,0,1,155498.0,0,1,0,2.0,1,5.0,3.0,20,1,6.0,3.0,4,1,0.0,0.0,80.20833333,4.166666667,0.0,4.166666667,11.45833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,3.0
234,1,2012.0,2.0,421.0,29,210,7,43,0,20,12,600000.0,21,2,2.0,2.0,4.0,0.0,4.0,50.0,0,0.0,2,0,2,0,0,0,0,2,1,1,0,0,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,1,0,18.0,5,0,0,1,500.0,1,0.0,0.0,0.0,1,58.0,1,13.0,1,1,1,0,2,2,0,1,0,0,0,0,0,38021.0,1,1,1,4.0,0,0.0,25.0,36,1,1.0,1.0,1,1,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,2.0
245,1,2008.0,6.0,-91.0,53,179,39,-4,0,29,274,6379489.0,21,2,0.0,5.0,2.0,0.0,7.0,35.0,1,3.0,3,1,0,1,0,0,0,2,0,1,0,0,1,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,2,2,25.0,25,1,1,2,500.0,0,0.0,1.0,1.0,0,120.0,1,16.0,0,0,1,0,2,2,1,1,1,1,0,0,0,2518863.0,1,0,1,4.0,0,0.0,7.0,48,1,8.0,12.12222222,3,2,9.444444444,2.777777778,50.0,0.0,3.333333333,12.77777778,12.77777778,0.0,0.0,2.777777778,6.111111111,0.0,0.0,0.0,4.0,0,1.0
256,1,2010.0,4.0,983.0,2,189,115,17,4,15,122,20000000.0,21,2,2.0,5.0,3.0,2.0,5.0,132.0,1,3.0,0,0,2,0,0,0,0,1,1,0,0,0,1,3,0,1,0,1,0,0,0,1,0,1,1,0,0,0,2,0,1,2,0,2,0,18.0,38,0,0,2,470.0,2,0.0,0.0,0.0,0,63.0,0,31.0,0,0,1,0,1,2,1,1,0,1,0,0,0,9355.0,0,0,1,4.0,0,0.0,44.0,90,1,1.0,12.0,3,1,12.5,0.0,6.25,50.0,0.0,18.75,6.25,0.0,6.25,0.0,0.0,0.0,0.0,0.0,1.0,1,5.0
267,1,2011.0,3.0,68.0,107,307,9,-1,4,42,6,2000000.0,21,2,0.0,2.0,3.0,0.0,4.0,8.0,0,0.0,3,0,1,1,0,0,0,2,1,0,0,0,1,3,0,1,0,1,0,0,1,1,0,1,1,1,1,0,2,0,1,2,0,1,0,18.0,54,1,1,2,500.0,1,0.0,0.0,0.0,2,116.0,0,14.0,1,1,0,0,2,1,0,0,0,0,0,0,1,1024425.0,0,0,0,2.0,1,0.0,4.0,78,1,14.0,1.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0
